"lp.","imię i nazwisko","wykształcenie","lista","nr okręgu","miasto","głosy"
385,"Apoloniusz Tajner","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",27,"Bielsko-Biała",20748
386,"Krzysztof Tchórzewski","wyższe","Prawo i Sprawiedliwość",18,"Siedlce",25867
387,"Robert Telus","wyższe","Prawo i Sprawiedliwość",10,"Piotrków Trybunalski",49262
388,"Ryszard Terlecki","wyższe","Prawo i Sprawiedliwość",14,"Nowy Sącz",29882
389,"Tadeusz Tomaszewski","wyższe","Nowa Lewica",37,"Konin",17181
390,"Jacek Tomczak","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",39,"Poznań",24918
391,"Wioleta Tomczak","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",26,"Słupsk",13217
392,"Cezary Tomczyk","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",11,"Sieradz",69211
393,"Stanisław Tomczyszyn","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",8,"Zielona Góra",10332
394,"Małgorzata Tracz","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",3,"Wrocław",17693
395,"Tomasz Trela","wyższe","Nowa Lewica",9,"Łódź",26273
396,"Krzysztof Truskolaski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",24,"Białystok",57664
397,"Krzysztof Tuduj","wyższe","Konfederacja Wolność i Niepodległość",3,"Wrocław",25922
398,"Sylwester Tułajew","wyższe","Prawo i Sprawiedliwość",6,"Lublin",10228
399,"Witold Tumanowicz","średnie ogólne","Konfederacja Wolność i Niepodległość",7,"Chełm",14387
400,"Donald Tusk","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",19,"Warszawa",538634
401,"Stanisław Tyszka","wyższe","Konfederacja Wolność i Niepodległość",26,"Słupsk",19753
402,"Katarzyna Ueberhan","wyższe","Nowa Lewica",39,"Poznań",24485
403,"Jarosław Urbaniak","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",36,"Kalisz",50724
404,"Piotr Uruski","wyższe","Prawo i Sprawiedliwość",22,"Krosno",22703
405,"Piotr Uściński","wyższe","Prawo i Sprawiedliwość",20,"Warszawa",15006
406,"Jarosław Wałęsa","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",25,"Gdańsk",17408
407,"Marcin Warchoł","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",26750
408,"Robert Wardzała","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",15,"Tarnów",9265
409,"Robert Warwas","wyższe","Prawo i Sprawiedliwość",32,"Katowice",17403
410,"Jan Warzecha","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",14023
411,"Małgorzata Wassermann","wyższe","Prawo i Sprawiedliwość",13,"Kraków",125786
412,"Michał Wawer","wyższe","Konfederacja Wolność i Niepodległość",33,"Kielce",18300
413,"Maciej Wąsik","wyższe","Prawo i Sprawiedliwość",16,"Płock",24033
414,"Marta Wcisło","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",6,"Lublin",68449
415,"Rafał Weber","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",31349
416,"Marek Wesoły","wyższe","Prawo i Sprawiedliwość",31,"Katowice",9915
417,"Joanna Wicha","wyższe","Nowa Lewica",20,"Warszawa",15324
418,"Patryk Wicher","wyższe","Prawo i Sprawiedliwość",14,"Nowy Sącz",18604
419,"Dariusz Wieczorek","wyższe","Nowa Lewica",41,"Szczecin",15378
420,"Jarosław Wiesław Wieczorek","wyższe","Prawo i Sprawiedliwość",29,"Katowice",23451
421,"Monika Wielichowska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",2,"Wałbrzych",52182
422,"Ryszard Wilk","wyższe","Konfederacja Wolność i Niepodległość",14,"Nowy Sącz",19374
423,"Teresa Wilk","średnie policealne/pomaturalne","Prawo i Sprawiedliwość",34,"Elbląg",9280
424,"Przemysław Wipler","wyższe","Konfederacja Wolność i Niepodległość",5,"Toruń",13457
425,"Aleksandra Karolina Wiśniewska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",9,"Łódź",25436
426,"Adrian Witczak","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",10,"Piotrków Trybunalski",16287
427,"Mariusz Witczak","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",36,"Kalisz",12754
428,"Elżbieta Witek","wyższe","Prawo i Sprawiedliwość",1,"Legnica",89172
429,"Przemysław Witek","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",28,"Częstochowa",5121
430,"Kamil Wnuk","średnie ogólne","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",32,"Katowice",16310
